ISIN,TimePeriod,ruleid,CapitalListed,High,Interest,IssuerID,LastRate,Low,MarketCap,MaturityDate,Name,OpeningPrice,SecurityID,SecurityType,Symbol,Transactions,Turnover,Volume,bool_var,errorcode,errorlevel
IL0011799280,2024-02-05,r1,1333647288.0,82.26,2.5,1324,82.09,81.97,1094791.0,2035-04-01,CLAL FIN B12,82.26,1179928,Bonds,CLBF.B12,151.0,1828.09,2225806.0,True,,
IL0011979205,2024-02-05,r1,808380775.0,98.23,5.31,1324,98.08,97.97,792860.0,2037-07-31,CLAL FIN B13,98.11,1197920,Bonds,CLBF.B13,114.0,1217.38,1240641.0,True,,
IL0011934812,2024-02-05,r1,899100000.0,104.89,4.7,224,104.79,104.58,942167.0,2028-02-28,CLAL INSU B1,104.85,1193481,Bonds,CLIS.B1,137.0,2387.24,2278185.0,True,,
IL0012013913,2024-02-05,r1,500000000.0,101.75,5.25,224,101.67,101.44,508350.0,2031-11-02,CLAL INSU B3,101.76,1201391,Bonds,CLIS.B3,103.0,1601.1,1576186.0,True,,
IL0011934994,2024-02-05,r1,150000000.0,0.0,2.8,224,99.3,0.0,148950.0,2028-02-28,CLAL INSU C2,99.3,1193499,Convertible Bonds,CLIS.C2,0.0,0.0,0.0,True,,
IL0002240146,2024-02-05,r1,79031359.0,5791.0,,224,5726.0,5695.0,4525336.0,,CLAL INSURANCE,5780.0,224014,Shares,CLIS,1068.0,4080.35,71089.0,True,,
IL0003890154,2024-02-05,r1,31270749.0,370.0,,389,360.9,350.0,112856.0,,COFIX GROUP,359.0,389015,Shares,CFX,202.0,428.46,119524.0,True,,
IL0008100104,2024-02-05,r1,6583504.0,11370.0,,810,11280.0,11150.0,742619.0,,COHEN DEV,11370.0,810010,Shares,CDEV,35.0,32.7,290.0,True,,
IL0010852080,2024-02-05,r1,88233766.0,825.8,,2188,801.1,785.3,706841.0,,COMPUGEN,823.5,1085208,Shares,CGEN,299.0,943.41,116932.0,True,,
IL0005070128,2024-02-05,r1,3431621.0,25500.0,,507,25490.0,25290.0,874720.0,,COMPUTER DIRECT,25250.0,507012,Shares,CMDR,9.0,28.29,111.0,True,,
IL0011822603,2024-02-05,r1,7596024.0,77.0,,1991,65.2,61.7,4953.0,,CONTINUAL,61.6,1182260,Shares,CNTL,35.0,29.9,45850.0,True,,
IL0011822785,2024-02-05,r1,1810268.0,0.0,,1991,1.0,0.0,18.0,,CONTINUAL W1,1.0,1182278, Warrant,CNTL.W1,0.0,0.0,0.0,True,,
