DATAFLOW,FREQ,NBB_COICOP,INDEX_BASE,INDEX_TYPE,DERIVATION,REF_AREA,ADJUSTMENT,INSTITUTION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,UNIT_MEASURE,UNIT_MULT,EMBARGO_TIME,DECIMALS
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2021-01,107.85,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2021-02,108.43,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2021-03,108.94,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2021-04,109.07,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2021-05,109.7,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2021-06,110.94,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2021-07,112.55,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2021-08,114.14,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2021-09,114.73,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2021-10,120.6,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2021-11,127.38,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2021-12,126.92,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2022-01,136.93,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2022-02,137.97,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2022-03,135.98,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2022-04,135.48,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2022-05,137.03,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2022-06,137.16,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2022-07,138.09,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2022-08,142.61,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2022-09,150.88,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2022-10,161.49,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2022-11,154.01,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2022-12,152.96,A,F,IX,0,,2
