ISIN,TimePeriod,LastRate
IL0011967812,2024-02-04,102.67
IL0011967994,2024-02-04,103.27
IL0060002107,2024-02-04,121.79
IL0060002362,2024-02-04,119.82
IL0060002776,2024-02-04,100.72
IL0060002859,2024-02-04,110.94
IL0060003840,2024-02-04,107.27
IL0060003923,2024-02-04,90.32
IL0011899502,2024-02-04,101.78
IL0011623043,2024-02-04,106.5
IL0011625774,2024-02-04,102.34
IL0011893984,2024-02-04,105.9
IL0011953614,2024-02-04,103.77
IL0011970451,2024-02-04,105.63
IL0010826357,2024-02-04,5602.0
IL0011593758,2024-02-04,98.1
IL0011932758,2024-02-04,102.8
IL0012030743,2024-02-04,95.1
IL0011729568,2024-02-04,85.1
IL0011693251,2024-02-04,301.4
IL0012030826,2024-02-04,970.3
IL0011424541,2024-02-04,1005.0
IL0007490779,2024-02-04,522.8
IL0010903644,2024-02-04,538.0
IL0005890103,2024-02-04,2267.0
IL0011411183,2024-02-04,100.26
IL0011836074,2024-02-04,99.7
IL0011887390,2024-02-04,99.2
IL0011010217,2024-02-04,323.3
GB00BG12Y042,2024-02-04,4484.0
IL0011233553,2024-02-04,1299.0
IL0011617516,2024-02-04,91.08
IL0011684839,2024-02-04,84.4
IL0072001162,2024-02-04,100.85
IL0072002566,2024-02-04,85.61
IL0072001733,2024-02-04,98.6
IL0072002491,2024-02-04,81.7
IL0007200111,2024-02-04,6370.0
IL0011319527,2024-02-04,977.2
IL0011758195,2024-02-04,69.8
IL0011883589,2024-02-04,554.7
IL0011825911,2024-02-04,357.3
IL0007550176,2024-02-04,10150.0
IL0075501481,2024-02-04,91.59
IL0011976078,2024-02-04,99.71
IL0011201618,2024-02-04,471.1
IL0011789125,2024-02-04,31.3
IL0011761140,2024-02-04,1233.0
IL0011050551,2024-02-04,276.5
IL0007040152,2024-02-04,4082.0
IL0070400820,2024-02-04,97.32
IL0011750416,2024-02-04,101.35
IL0011831695,2024-02-04,95.57
IL0011617854,2024-02-04,88.38
IL0011375123,2024-02-04,100.52
IL0011418527,2024-02-04,95.55
IL0011680381,2024-02-04,102.13
IL0011988867,2024-02-04,102.8
IL0011434292,2024-02-04,42900.0
IL0011508129,2024-02-04,97.55
IL0011881922,2024-02-04,103.31
IL0011697211,2024-02-04,108.2
IL0011731788,2024-02-04,128.6
IL0005930388,2024-02-04,14750.0
IL0007630119,2024-02-04,15390.0
IL0011653073,2024-02-04,797.6
IL0012021189,2024-02-04,98.6
IL0011735821,2024-02-04,91.6
IL0011735904,2024-02-04,2.5
IL0003150104,2024-02-04,13040.0
IL0001990188,2024-02-04,13.6
IL0002560162,2024-02-04,23450.0
IL0025601423,2024-02-04,99.31
IL0025602090,2024-02-04,96.34
IL0010870223,2024-02-04,26590.0
IL0011022196,2024-02-04,5810.0
IL0011562803,2024-02-04,488.0
IL0001260111,2024-02-04,1129.0
IL0012606039,2024-02-04,108.0
IL0012606526,2024-02-04,105.35
IL0012605460,2024-02-04,119.63
IL0012607367,2024-02-04,92.67
IL0012607698,2024-02-04,107.7
IL0012607854,2024-02-04,96.88
IL0011981425,2024-02-04,98.0
IL0011226888,2024-02-04,1115.0
IL0011447815,2024-02-04,1241.0
IL0077102395,2024-02-04,96.8
IL0077102544,2024-02-04,99.75
IL0077102627,2024-02-04,90.24
IL0077102965,2024-02-04,96.26
IL0011931768,2024-02-04,101.2
IL0095904319,2024-02-04,144.04
IL0011859332,2024-02-04,98.47
IL0011859415,2024-02-04,101.82
IL0011758682,2024-02-04,366.6
IL0005320101,2024-02-04,1519.0
IL0011583692,2024-02-04,101.25
IL0011983249,2024-02-04,101.0
IL0004540170,2024-02-04,313.9
IL0011047441,2024-02-04,2941.0
IL0007590198,2024-02-04,2844.0
